name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
BEN GHALI DE TOURNAGE NUMERIQUE,Machines diverses d'usage spécifique.,Sousse,(216) - 28 596 618 / 73 386 401,https://fr.linkedin.com/company/sbtn-belghali-tournage-numerique,https://www.sbtn.com.tn/,"Depuis 2002, la société BTN était créé par MR Karim BELGHALI est expert en mécanique et micromécanique de haute précision. SBTN maîtrise un parc machines de haute précision, puissant et flexible pour fabriquer vos prototypes, moules, outillages, préséries, petites et moyennes séries de pièces techniques ouvragées dans tous types de matières premières, y compris les plus dures. • Fraisage Numérique • Tournage Numérique • Rectification • Érosion • Taillage d'engrenage •Injection plastique : Chaque technique est mise en œuvre par nos spécialistes dans les meilleures conditions, avec une précision strictement conforme aux spécifications. Notre taux de service prix, délais respecté, qualité est une priorité. Le savoir-faire de SBTN est apprécié par de nombreux client des secteurs : • Automobiles • Aéronautique • Industrie • Bâtiment • Hydraulique • Médicale Pour plus d'information n'hésitez pas à nous contacter : (+216) 73 386 401 ou (+216) 22 080 450 ou rendez-vous sur www.sbtn.com.tn Ou par e-mail: contact@sbtn.tn",11-50 employés,Fabrication de machines industrielles,"sousse, zaouiet sousse",Société indépendante,2002,
BIFECTA TECHNOLOGIE,Réservoirs et citernes métalliques.,Manouba,(216) - 70 616 246,https://fr.linkedin.com/company/bifecta,http://www.bifectagroup.com/,"Entreprise spécialisée dans la fabrication, installation, et fourniture de cuves, citernes et Skids de process en acier inoxydable pour les industries agroalimentaires, cosmétiques et chimiques Nous accompagnons nos partenaires depuis 1986 dans la réalisation de leurs projets à l'international (Zone MENA / Afrique subsaharienne) en proposant des solutions sur mesure à travers : - La fabrication de cuves et citernes de stockage/process à travers notre filiale industrielle (Bifecta technologie) - La fourniture de tubes et accessoires en acier inoxydable - Installation et montage de lignes de process à travers nos filiales (Agrinox et Prodinox) - Mise à la disposition de techniciens qualifiés (tuyauteurs,soudeurs homologués)",51-200 employés,Fabrication de machines industrielles,GENAY,Société civile/Société commerciale/Autres types de sociétés,1986,
BIOME INOX INDUSTRY,Fabrication de tubes en acier.,Beja,(216) - 78 440 440,https://fr.linkedin.com/company/inox-industries-inc-,http://www.inoxindustries.com,"Fabrication of highly engineered stainless-steel process equipment, pressure vessels and process piping used used in the following quality critical businesses: Biotech., Pharma & Cosmetic, Food & Beverage, Industrial, Fine Chemicals, Energy/Oil & Gas Sector and Automotive to name but a few.",51-200 employés,Industrie manufacturière,"Brampton, ON",Société civile/Société commerciale/Autres types de sociétés,1988,
BMT (KORBA),Emballages métalliques légers.,Nabeul,(216) - 71 348 968 / 71 254 429,https://fr.linkedin.com/company/bmt,https://bmt.org,"BMT is a maritime-orientated high-end design house and technical consulting firm driven by a passion for solving complex, real-world problems Our core business comprises distinctive and sustainable capabilities, which we leverage to address the needs of our customers and markets and are the primary focus of future capability development. We exist to navigate the most important and impactful engineering challenges of our time. We create environments where people with outstanding technical knowledge deliver meaningful, practical solutions. We are driven by a commitment to a safer, more efficient, effective and sustainable future.",1 001-5 000 employés,Services et conseil aux entreprises,"London, London",Société civile/Société commerciale/Autres types de sociétés,1985,
BONTAZ,Mécanique générale - Equipements automobiles.,Ben Arous,(216) - 25 452 060 / 39 149 866,https://fr.linkedin.com/company/bontaz,http://bontaz.com,"Équipementier automobile de rang 1, Bontaz est le leader mondial des fonctions hydrauliques. Bontaz fournit son expertise aux bureaux d'études des constructeurs automobiles pour lesquels il fabrique des sous-ensembles (Gicleurs, électrovannes, modules complets, pièces d'injection, clapets). Présent sur les 5 continents sur 11 sites dont 4 centres R&D, Bontaz emploie plus de 4 000 personnes.",1 001-5 000 employés,Fabrication de véhicules automobiles,"Marnaz, Auvergne-Rhône-Alpes",Société civile/Société commerciale/Autres types de sociétés,1965,
BORAQ,Fabrication de tubes en acier.,Ben Arous,(216) - 79 214 477,https://fr.linkedin.com/company/boraqsolutions/?trk=products_details_guest_organization_page,https://www.boraqsolutions.com,"BORAQ group is an end-to-end business solutions and creative media services provider, that will make your business grow effectively. We have got the professional team and the experts in the field that will take your business to higher levels. We tend to find the fittest solutions to your business in a strategic way that will improve your workflow and empower you to focus on what you do best, from a basic website to a complex ERP implementation, BORAQ group is the answer. Our highly talented and skilled team will use their creativity and their unique innovation to turn your vision into reality in the most efficient and effective way. We help organizations to improve business performance and maximize the return of their investments and improve corporate governance. In addition to the technologies, our business experts will focus also on improving business processes and how to reduce costs and maximize efficiency by applying automation along with state of the art techs. We know how important is the UI/UX, therefore, BORAQ media is proud to engage with you in a detailed oriented manner, we provide all the media in a fancy luxurious package. We know your value and we know how to present it well.",11-50 employés,Services et conseil en informatique,"Jeddah, Alfaysaliah",Société cotée en bourse,2017,
BOT ENERGY,Constructions métalliques.,Tataouine,(216) - 29 300 070 / 22 718 314,https://fr.linkedin.com/company/bot-energy?trk=ppro_cprof,http://bot-energy.com,,11-50 employés,Industrie pétrolière et gazière,,Société civile/Société commerciale/Autres types de sociétés,,
BOUCHAMAOUI INDUSTRIES SERVICES,Constructions métalliques.,Beja,(216) - 71 206 850 / 78 453 119,https://fr.linkedin.com/company/bouchamaoui-industries,http://www.bouchamaoui.net/,"BOUCHAMAOUI A&R INDUSTRIES (BI) is an internationally recognized construction company covering a large spectrum of activities in North Africa. BI has achieved this position as a result of its commitment to service, quality and safety, benefiting clients, employees and shareholders. BI provides full Engineering, Procurement, Fabrication and Construction services to the Oil & Gas Industry, HV Electrical Power Supply and Industrial Installations. This includes a complete and efficient range of services based on our technical ability, vast experience, capability and sophisticated information technology dedicated to integrated project management. Having established a reputation for excellence, we trust that we will be able to put our experience and resources to work for you. We greatly appreciate your interest in our company and look forward to serving you in the future.",501-1 000 employés,Industrie pétrolière et gazière,"Tunis, Tunis",Société civile/Société commerciale/Autres types de sociétés,1948,
BOUDHINA IRRIGATION,Constructions métalliques - Ouvrages divers en métaux.,Bizerte,(216) - 71 343 430 / 72 494 001,https://fr.linkedin.com/company/coromandel-international-limited,http://www.coromandel.biz,"Coromandel International Limited is amongst India’s pioneers and leading Agri solutions provider, offering diverse products and services across the farming value chain. It operates in two major segments: Nutrient and other allied businesses and Crop Protection. These include Fertiliser, Crop Protection, Bio Products, Specialty Nutrients and Organic businesses. The Company is 2nd largest manufacturer and marketer of Phosphatic fertiliser in India. The Company’s Crop Protection products are marketed in India as well as in international geographies, offering wide range of technical and formulation products. The Specialty Nutrients business of the Company focuses on water soluble fertiliser and secondary & micronutrients segments. The Company is leading marketer of Organic fertiliser in India. The Bio Products business of the company focusses on plant extractions for various applications. It also operates a network of around 750+ rural retail outlets across Andhra Pradesh, Telangana and Karnataka. Through these Retail outlets, the Company offers farming services including crop advisory, soil testing and farm mechanization to around 3 million farmers. The Company has a strong R&D and Regulatory setup, supporting the businesses in process development and new product introduction. The Company has 18 manufacturing facilities, producing wide range of Nutrient and Crop Protection products, which are marketed through an extensive network of dealers and its own retail centers. The Company clocked a turnover of Rs. 22,290 Crores during FY 2023-24. Its efforts towards environment have been well recognised by international organizations like UNDP and has also been voted as one of the ten greenest companies in India by TERI. Coromandel is a part of the INR 742 billion (INR 74,220 Crores) of the Murugappa Group. For more details, visit www.coromandel.biz",5 001-10 000 employés,Fabrication de produits chimiques,"Chennai, Tamil Nadu",Société cotée en bourse,,
BRI,Constructions métalliques - Ouvrages mécano soudé.,Gabes,(216) - 75 275 611,https://fr.linkedin.com/company/bri-biopharmaceutical-research-inc,www.frontagelab.com,testing,501-1 000 employés,Hôpitaux et services de santé,,Société cotée en bourse,,
C.C.A TUNISIE,Constructions métalliques - Construction aéronautique et spatiale.,Ben Arous,(216) - 70 029 680 / 70 029 648,https://fr.linkedin.com/company/corse-composites-aeronautiques,http://www.corse-composites-aeronautiques.com,"Corse Composites Aéronautiques (C.C.A), est aujourd’hui reconnu comme l’un des spécialistes du développement de pièces complexes en matériaux composites, à destination de l’aéronautique. Cette réussite est le fruit de l’expertise acquise par l’entreprise sur les familles de produits autour desquelles elle s’est spécialisée : Les trappes de train d’atterrissage avant, les éléments de voilures ou de fuselage appelés « Karmans / Fairings » ou encore les pièces de révolution de type « barrels » pour les nacelles moteurs. CCA, certifié Nadcap Composites depuis 2015, est aujourd’hui présent sur la plupart des programmes aéronautiques nouveaux, et compte comme clients les principaux acteurs aéronautiques (Airbus, Dassault Aviation, Stelia, etc.), en tant que Partenaire de Rang 1. Notre développement s’inscrit en parallèle dans d’ambitieux projets de R&T, visant à concevoir les pièces du futur.",201-500 employés,Aéronautique et aérospatiale,"Ajaccio, Corsica",Société civile/Société commerciale/Autres types de sociétés,1983,
CAPTUN,Mécanique générale.,Sousse,(216) - 73 320 998,https://fr.linkedin.com/company/campingscapfun,http://www.capfun.com,"Plus de 1 Million de clients nous font confiance tous les ans, Nous sommes propriétaires de 160 campings de Qualité. 94% de nos clients 2021 disent qu'ils vont repartir avec nous. Nous sommes les leader de l'hôtellerie de plein air !",1 001-5 000 employés,Hôtellerie,Mouans Sartoux,Société civile/Société commerciale/Autres types de sociétés,2001,
CARINA ATLAS,Mécanique générale.,Sousse,(216) - 73 285 736,https://fr.linkedin.com/company/execoncepts77/,http://execoncepts.fr,"ExeConcepts est un cabinet de Maitrise d'Œuvre d'Exécution, Assistance à Maitrise d’Ouvrage, Ordonnancement et Pilotage de Chantier, Management de Projets et Conseils pour les besoins des Maîtres d'Ouvrages, Architectes et Entreprises en bâtiments résidentiels, non résidentiels et équipements publiques. Fort d’une expérience conséquente dans la conduite de projets de constructions tous corps d’états en entreprises générales et lots séparés, ExeConcepts propose cette expertise pour accompagner Maitres d’Ouvrages, Promoteurs et Architectes dans la réalisation de leurs opérations de constructions.",2-10 employés,Construction de bâtiments,"Marne-la-Vallée, Île-de-France",Société civile/Société commerciale/Autres types de sociétés,2022,
CARTHAGE INDUSTRIES,Constructions métalliques.,Zaghouan,(216) - 71 904 734 / 72 640 790,https://fr.linkedin.com/company/carthage-industries,https://www.carthage-industries.com,"Nous sommes là pour augmenter vos connaissances avec l'expérience Système de contrôle de la qualité, garantie de satisfaction à 100% Fabrication inégalée, professionnelle et qualifiée Sensibilité environnementale, solutions personnalisées Depuis sa création, Carthage Industries n’a cessé de progresser et d’innover dans le domaine de la construction métallique, pipe line , ouvrages gaz et travaux de génie civil. Charpente métallique, chaudronnerie, pipe line et ouvrages d'infrastructure Gaz sont étudiées tous les jours par notre Bureau d’étude, fabriquées par nos ateliers et posées par nos équipes. L'expérience, le savoir-faire et la maitrise des techniques permettent à Carthage Industries de s’adapter à toutes les demandes et garantir la réussite de vos projets dans les délais les plus courts.",11-50 employés,Construction,,Partenariat,2009,
CAVEO AUTOMATIVE TUNISIA,Equipements automobiles.,Ben Arous,(216) - 71 430 662,https://fr.linkedin.com/company/caveo-automotive-tunisia,http://www.caveoautomotive.com,"CAVEO AUTOMOTIVE Tunisia - Société Anonyme créée en 1981, fait partie d’un groupe de sociétés intégrées dans le secteur du véhicule industriel (CAVEO) et est filiale de l’un des plus importants groupes privés tunisiens UFI GROUP. Spécialisée dans la conception, la fabrication et la commercialisation de ressorts à lames conventionnels et paraboliques pour tout type de véhicules. CAVEO TUNISIA est le fournisseur des plus grands constructeurs automobiles internationaux. L’organisation structurelle mise en place par CAVEO TUNISIA est certifiée ISO 9001, IATF16949, ISO 14001 et ISO 45001. CAVEO TUNISIA a acquis son savoir faire de la société Japonaise NHK, l’un des leaders mondiaux de la fabrication de ressorts à lames. COTREL assiste ses clients dans la conception de nouveaux produits, assure la qualité totale des produits commercialisés et maîtrise parfaitement la logistique de livraisons. Aujourd’hui, CAVEO TUNISIA occupe une position stratégique au cœur de marchés fortement concurrentiels grâce à une valorisation des compétences, une utilisation des technologies modernes et pointues mais aussi et surtout grâce à un engagement de performance et d’efficacité au profit d’une clientèle de plus en plus exigeante.",501-1 000 employés,Fabrication de véhicules automobiles,"Ben Arous, Borj Cédria",Société civile/Société commerciale/Autres types de sociétés,1981,
CEFER,Ouvrages divers en métaux.,Sfax,(216) - 93 553 047 / 74 842 008,https://fr.linkedin.com/company/institutodereproducci%C3%B3ncefer,https://www.institutocefer.com,Expertos en Reproducción humana asistida desde 1977. Creamos el primer banco de semen de España y el primer banco de óvulos de españa,51-200 employés,Services de bien-être et installations sportives,"Barcelona, Barcelona",Société indépendante,1977,
CENTRAL,Menuiseries et fermetures métalliques.,Sousse,(216) - 26 416 300 / 73 309 349,https://fr.linkedin.com/company/groupe-central-autos,http://www.centralautos.fr,"🚗 Groupe Central Autos | Mobilité & expériences automobiles Groupe Central Autos est un groupe automobile familial implanté à Lyon et en Isère depuis 1960. Nous distribuons aujourd’hui 7 marques majeures et proposons des solutions de mobilité complètes, pensées pour les particuliers comme pour les entreprises. Vente, financement, entretien, réparation, pièces d'origine, location : nous accompagnons nos clients au quotidien avec une offre complète, pensée pour simplifier chaque usage de l’automobile. ⚡ Nous accompagnons la transition énergétique en proposant aux particuliers et aux professionnels des solutions de recharge électrique clés en main : étude de projet, installation, maintenance, ainsi que financement et monétisation des infrastructures pour les entreprises. Notre force ? 👉 Des équipes engagées 👉 Une relation de proximité 👉 Une culture profondément humaine, tournée vers l’avenir 🔎 Groupe Central Autos c'est aussi : • 7 marques : Audi, Volkswagen, SEAT, CUPRA, Škoda, Hyundai & Volkswagen Utilitaires • 15 sites dans le Rhône et l’Isère • 290 collaborateurs • 220 M€ de chiffre d’affaires 🚀 Rejoignez-nous Nous recrutons régulièrement des talents motivés, curieux et engagés, prêts à évoluer au sein d’un groupe en pleine transformation. 👉 Nos offres : https://www.centralautos.fr/offres-emploi/",201-500 employés,Commerce de détail de véhicules automobiles,"Saint-Fons, Auvergne-Rhône-Alpes",Société civile/Société commerciale/Autres types de sociétés,1960,
CENTRAX,Mécanique générale - Ouvrages divers en métaux - Equipements automobiles.,Sousse,(216) - 73 249 466,https://fr.linkedin.com/company/centrax-ltd,http://www.centraxgt.com,"Centrax Gas Turbines manufacture gas turbine-powered generator sets ranging from 3.9 MW to 15 MW. The generator sets are based on Siemens 501, 300, and 400 gas turbines. The company employs more than 250 people, mainly at the Centrax manufacturing facility in Newton Abbot, UK and also has service operations located in North America and seven European countries. The Company offers a range of support to customers, from routine visits by fully qualified Service Engineers to Comprehensive Maintenance Contracts. This means that the Company is able to offer reliability and availability guarantees that are unmatched in this market sector. To date, more than 330 Centrax generator sets have been sold throughout Europe and beyond, primarily for Combined Heat and Power/Cogeneration and Power Generation as well as for standby and On/Offshore applications. Centrax packages operate in many industries including manufacturing, public utilities and district heating applications and have accumulated over 21 million hours of operating experience. Follow us to keep up to date with our latest news.",201-500 employés,Ingénierie mécanique ou industrielle,Newton Abbot,Société civile/Société commerciale/Autres types de sociétés,1946,
CGM (BOUMHAL),Bouteilles à gaz comprimés.,Ben Arous,(216) - 71 453 299 / 71 453 865,https://fr.linkedin.com/company/chick%E2%80%99n-chips,https://chicknchips.tn/,"The best Chicken restaurant which serves delicious chicken fingers, Burgers, sandwiches and salads in a fun atmosphere.",11-50 employés,Restaurants,Boumhal,Société civile/Société commerciale/Autres types de sociétés,2019,
CHAFRA TUBES,Sidérurgie et production de ferro-alliages - Fabrication de tubes en acier.,Nabeul,(216) - 72 255 362,https://fr.linkedin.com/company/qoncert-s-r-l-,http://www.qoncert.it,"Qoncert è un Organismo di Certificazione notificato dalla Commissione Europea (NB 2592). Siamo una realtà giovane, snella e dinamica, proiettata verso il futuro. Operativi dal 2012, nasciamo dall’iniziativa di due soci che hanno unito competenze tecniche e certificative per creare una struttura in grado di offrire servizi ad alto valore aggiunto in Italia e all’estero. Qoncert opera nel settore dei prodotti da costruzione in conformità al Regolamento UE n. 305/2011, con l’obiettivo di garantire la protezione della salute, della sicurezza e dell’ambiente. Per noi, oggi non basta realizzare buoni prodotti: è fondamentale farlo in modo efficiente e sostenibile. Offriamo, inoltre, servizi di sostenibilità e innovazione per le imprese, tra cui: - Valutazione degli impatti ambientali - Analisi del ciclo di vita (Life Cycle Assessment) - Supporto strategico per la transizione ecologica Crediamo fermamente ad un approccio alla produzione ambientalmente sostenibile, a cui ci dedichiamo con passione, professionalità e trasparenza.",2-10 employés,Services et conseil aux entreprises,"Piacenza, Italia",Société civile/Société commerciale/Autres types de sociétés,2012,
CHANTIER NAVALE DE LA MEDITERANEE,Construction de bateaux de plaisance.,Bizerte,(216) - 72 473 334 / 56 811 328,https://fr.linkedin.com/company/chantier-naval-de-marseille,http://www.cndm.eu,"Chantier Naval de Marseille (CNdM) is a ship repair yard with modern and well equipped facilities, a highly skilled workforce, a wide network of specialists and strong teamwork ethic. CNdM is a member of Genova Industrie Navali (GIN) Group together with others companies operating in several segments of the maritime market. Strategically located in Marseille, close to majors Mediterranean’s terminals, CNdM benefit from the proximity of competitive maritime and industrial hinterland and is perfectly positioned to support the needs of the maritime, offshore and renewable energy sectors. CNdM offers to his customers a full range of services a ship-owner might need. Thanks to its professionalism and organization it always achieves to timely deliver any kind of project with the reliability, the efficiency and the reactivity that its clients require . Strongly committed to QHSSE, CNdM recognizes the importance of providing high quality standards and consider their primary focus to insure to our staff and partner a safe and healthy work environment. CNdM is linked to San Giorgio del Porto: www.sangiorgiodelporto.it",51-200 employés,Construction navale,Marseille,Société civile/Société commerciale/Autres types de sociétés,2010,
CHAUDRA,Constructions métalliques - Ouvrages mécano soudé.,Bizerte,(216) - 72 510 711 / 72 425 549,https://fr.linkedin.com/company/chaudra?trk=ppro_cprof,http://www.chaudra.com,"spécialisée Constructions Métalliques, Maintenance Industrielle.",201-500 employés,Construction,Bizerte,Société civile/Société commerciale/Autres types de sociétés,,
CHIMICOULEURS EMBALLAGES METALLIQUES,Fûts et emballages métalliques similaires - Emballages métalliques légers.,Ben Arous,(216) - 71 398 300 / 31 344 600,https://fr.linkedin.com/company/chimicouleurs-emaballages-mettalique/,http://cce.com.tn/,"Fabricant depuis 1998, Spécialiste de l'emballage métallique, et leader dans le marché.L’entreprise CHIMICOULEURS EMBALLAGES METALLIQUES est capable de vous servir des emballages à usage alimentaire ou industriel. Notre structure et notre capacité d'adaptation nous permettent de fabriquer aussi bien de la petite série que de la grande avec une cadence de production importante qui peut dépasser 2.000.000 boites par minute grâce à notre parc machines performant qui suit les nouveautés de marché. Avec une liste de clients de renommée en Tunisie, le grand Maghreb et l’Afrique, vous pouvez être certain que la qualité de nos produits et notre service sont exceptionnels.",201-500 employés,Fabrication d’emballages et conteneurs,"Borj Ghorbel Route de Mornag km9, Ben Arous",Travailleur indépendant,1998,
CIEF,Mécanique générale.,Sfax,(216) - 74 497 033,https://fr.linkedin.com/company/centre-international-d-etudes-fran%C3%A7aises,https://cief.univ-lyon2.fr/,"Le Centre international d’études françaises (CIEF) est une composante de l’Université Lumière Lyon 2, spécialisé dans la formation linguistique et culturelle d’un public non francophone. Il accueille chaque année plus de mille étudiant.es d’une soixantaine de pays. Vous souhaitez apprendre le français pour vos études, le travail ou le plaisir ? Le CIEF est le lieu incontournable pour le faire en toute sérénité ! Lové en plein cœur de Lyon, à deux pas des berges du Rhône, le Centre International d’Etudes Françaises vous accueille tout au long de l’année universitaire pour des cours semestriels, annuels ou des stages de longue ou courte durée. Le CIEF met à votre disposition une expérience riche d’enseignement du français. Notre philosophie : un enseignement de qualité. Entouré.es par une équipe pédagogique dévouée et professionnelle, encadré.es par une équipe administrative dynamique et enthousiaste, vous progresserez à votre rythme. Alliant cours de français et activités extra-scolaires, votre vie d’étudiant.e sera riche en expériences, rencontres et échanges inoubliables.",51-200 employés,Enseignement supérieur,"Lyon, Auvergne-Rhône-Alpes",Établissement éducatif,2000,
CIESSE MED,Menuiseries et fermetures métalliques.,Zaghouan,(216) - 72 640 741 / 72 640 742,https://fr.linkedin.com/company/ciesse-flower-export-s-r-l-,http://www.ciesseflower.com,"Trading on the export flowers markets since 1985, Ciesse Flower Export leads an international group able to supply top quality products, high standard services and professionalism. In our 5.500 sq. meters facility, strategically situated on the territory, our Team can work in safety with up to date equipment and structures. Quality control, extra care in selecting and packing, handling, loading and transporting have always been our main focus. Ciesse flower is situated in the Riviera dei Fiori, an area on the west of Liguria that has witnessed the growth of intensive modern floriculture. The principles of competition for which Ciesse Flower continually strives to improve are: - Quality - Variety - Competitiveness - Efficiency - Transport The quality of our products is guaranteed by a team of professionals operating on the most important flower markets. In addition, a group of specialized buyers has the task to follow market trends and developments paying special attention to innovation and choice of purchase. One of the prerogatives of Ciesse Flower is the product freshness that must remain unaltered even after delivery to the client. For this purpose the correct choice of wrapping is necessary, a choice that is made according to top quality innovative materials. The companies in the CS Group are: Solar Flower specializes in the sales and marketing of flowers with a particularly good price quality ratio: the customary magnificent displays of Sanremo quality flowers at a truly affordable price. Ciesse Transport Speed and punctuality are fundamental in transporting flowers across Europe and is a job for professionals. Ciesse Transport is a specialist company that takes care not only of the Group’s transport but also for all professional sector operators that require punctual, cost effective transport for their products. #flowerexport#wholesaleflowers#cutflowers#sanremoflowers#italianflowers",51-200 employés,Import et export,"Taggia, Imperia",Société civile/Société commerciale/Autres types de sociétés,1985,
CIMAB,Menuiseries et fermetures métalliques.,Sousse,(216) - 73 342 688 / 26 789 801,https://fr.linkedin.com/company/cimab-sa,http://www.cimab-sa.com,"Creada en 1992, CIMAB S.A es una empresa dedicada a la creación y administración de alianzas estratégicas internacionales. Se especializa en gestionar la innovación y comercialización de productos biotecnológicos derivados de la investigación científica del Centro de Inmunología Molecular (CIM), destinados al tratamiento de patologías de alta incidencia a nivel mundial, tales como el cáncer y otras enfermedades crónicas no transmisibles.",11-50 employés,Recherche en biotechnologie,"Playa, Habana",Société cotée en bourse,1992,
CIMAS,Constructions métalliques - Réservoirs et citernes métalliques.,Bizerte,(216) - 72 420 110,https://fr.linkedin.com/company/cimas-consulting/,https://www.cimas-consulting.com/,"CIMAS Consulting est un cabinet de conseil en maintenance industriel. Nos activités principales : - Conseil, démonstration, formation et vente de matériel spécifique à la maintenance industriel et de sécurité. - Mise à disposition de techniciens de maintenance tous corps de métiers pouvant intervenir auprès de nos clients industriels et du BTP. - Mise en place de la GMAO (magasin de pièces détachées, Mode opératoire et gestion de la maintenance préventive, documentations, historique des pannes…) - Maintenance prédictive du parc machines, préparation et suivi de chantier, déplacement de machines, vidéos lors des interventions de la maintenance. - Maintenances diverses des bâtiments : couvertures, maçonneries, démolitions, peintures (sol, mûr, parking), nettoyages -Vente de machines industrielles d'occasion au Cameroun.",2-10 employés,Fabrication de machines,"Sainte-Marie-aux-Mines, Grand Est",Société indépendante,2016,
CMR TUNISIE,Réparation navale.,Bizerte,(216) - 72 418 127 / 72 418 590,https://fr.linkedin.com/company/cmr-tunisie,,"CMR GROUP est le leader mondial de l'instrumentation et des systèmes de connexion pour les moteurs diesel et gaz de grande puissance; ses solutions contribuent à la réduction drastiquement des émissions des moteurs thermiques. Avec près de 1 000 collaborateurs à travers 11 pays, CMR conçoit et met en œuvre des solutions de contrôle et de supervision dans les secteurs de l'Energie, de l'Industrie et de la Marine, intégrant apeteurs intelligents et automatismes. Adoptant le dernier système intégré de gestion de la qualité : ISO9001, ISO14001 et OHSAS18001 qui inclut des aspects de la certification TS16949, et le processus de production allégée Six Sigma, CMR Tunisie peut fournir des harnais de câblage, des capteurs et de l'électronique de haute performance et de précision, réellement compétitifs en termes de coûts, pour les entreprises mondiales de biens d'équipement. - Pour en savoir plus : www.cmr-group.com",501-1 000 employés,Industrie manufacturière,Megrine,Société civile/Société commerciale/Autres types de sociétés,2001,
CMSP,Constructions métalliques - Réservoirs et citernes métalliques - Ouvrages mécano soudé.,Sfax,(216) - 28 123 799 / 74 830 900,https://fr.linkedin.com/company/cmsp-recrutement,http://www.cmsp.ma,"CMSP est l'un des principaux fournisseurs de services d'approvisionnement en main-d'œuvre, spécialisé dans la fourniture d'externalisation, de recrutement, de permis de travail et de visas expatriés pour les industries au Maroc.",501-1 000 employés,Recrutement et placement de personnel,"Rabat, Rabat",Société civile/Société commerciale/Autres types de sociétés,2017,
COLDEQ,Equipements aérauliques et frigorifiques industriels.,Ben Arous,(216) - 23 307 028,https://fr.linkedin.com/company/colgate-palmolive,http://www.colgatepalmolive.com,"Make More Smiles. We are Colgate-Palmolive, a caring, innovative growth company that is reimagining a healthier future for all people, their pets and our planet. For over 200 years, we've poured our care into creating a future where everyone has more reasons to smile. CP People develop, produce, distribute and sell essential health & hygiene products and pet nutrition offerings through brands such as Colgate, Palmolive, elmex, Tom’s of Maine, hello, Sorriso, Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Filorga, eltaMD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet. The Company is recognized for its leadership and innovation in promoting sustainability and community wellbeing, including its achievements in decreasing plastic waste and promoting recyclability, saving water, conserving natural resources and improving children’s oral health through the Colgate Bright Smiles, Bright Futures program, which has reached approximately 1.8 billion children and their families since 1991.",+ de 10 000 employés,Industrie manufacturière,"New York, New York",Société cotée en bourse,,
COLMAR,Visserie boulonnerie chaînes et ressorts - Equipements automobiles.,Monastir,(216) - 73 479 300 / 73 479 179,https://fr.linkedin.com/company/colmar-ville-et-agglom%C3%A9ration,https://www.colmar.fr/,"Sur cette page retrouvez les actualités de la Ville de Colmar et de Colmar Agglomération. Il s'agit de deux institutions distinctes qui oeuvrent dans la même direction, à savoir, satisfaire l'intérêt général des habitants du territoire. La communauté d’agglomération comprend à ce jour 20 communes et près de 115 000 habitants. Les 20 communes : Andolsheim, Bischwihr, Colmar, Fortschwihr, Herrlisheim-près-Colmar, Horbourg-Wihr, Houssen, Ingersheim, Jebsheim, Muntzenheim, Niedermorschwihr, Porte du Ried (regroupement des communes de Holtzwihr et de Riedwihr), Sainte-Croix-en-Plaine, Sundhoffen, Turckheim, Walbach, Wettolsheim, Wickerschwihr, Wintzenheim, Zimmerbach. Colmar Agglomération : https://www.agglo-colmar.fr/ Pour les offres d'emplois de Colmar et Colmar Agglomération : https://www.colmar.fr/",1 001-5 000 employés,Administration publique,"Colmar, Grand Est",Administration publique,,
